pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2022-08-29,85.1,3,6.21,"Cruz, Oneil",665833,608718,,called_strike,NA,NA,NA,NA,14,Oneil Cruz walks.,R,L,L,MIL,PIT,S,NA,,3,1,2022,-0.29,1.3,0.94,2.49,NA,NA,NA,1,7,Top,NA,NA,NA,NA,553882,NA,NA,-4.33645365538163,-123.874537024617,-5.1209493930217604,-2.12576494719687,24.7261963556411,-17.9394352807045,3.83,1.82,NA,NA,NA,86.7,2167,7.3,661167,608718,553882,669374,543939,649966,642715,592885,669003,592669,53.19,NA,NA,NA,NA,NA,NA,NA,56,5,4-Seam Fastball,3,5,5,3,5,3,5,3,Infield shift,Standard,175,0,-0.049
CH,2022-08-29,76.7,3.13,6.39,"Cruz, Oneil",665833,608718,,ball,NA,NA,NA,NA,12,Oneil Cruz walks.,R,L,L,MIL,PIT,B,NA,,2,1,2022,0.95,1.06,0.99,3.83,NA,NA,NA,1,7,Top,NA,NA,NA,NA,553882,NA,NA,-6.29018705527992,-111.515058790407,-0.308221738373611,9.06615871716434,19.9945805514226,-23.476116978412,3.85,1.8,NA,NA,NA,77.2,1293,6.7,661167,608718,553882,669374,543939,649966,642715,592885,669003,592669,53.78,NA,NA,NA,NA,NA,NA,NA,56,4,Changeup,3,5,5,3,5,3,5,3,Infield shift,Standard,152,0,0.075
FF,2022-08-29,88,3,6.19,"Cruz, Oneil",665833,608718,,ball,NA,NA,NA,NA,12,Oneil Cruz walks.,R,L,L,MIL,PIT,B,NA,,1,1,2022,-0.27,1.26,1.12,3.56,NA,NA,NA,1,7,Top,NA,NA,NA,NA,553882,NA,NA,-4.065921763617,-128.11714845955,-2.93946098901158,-2.1049789659457,25.9320205152061,-17.8939556349885,3.9,1.84,NA,NA,NA,89.3,2233,7,661167,608718,553882,669374,543939,649966,642715,592885,669003,592669,53.46,NA,NA,NA,NA,NA,NA,NA,56,3,4-Seam Fastball,3,5,5,3,5,3,5,3,Infield shift,Standard,174,0,0.033
FF,2022-08-29,92.9,-1.82,5.15,"Cruz, Oneil",665833,642207,strikeout,swinging_strike,NA,NA,NA,NA,8,Oneil Cruz strikes out swinging.,R,L,R,MIL,PIT,S,2,,1,2,2022,-1.08,1.32,0.1,2.04,NA,NA,656185,0,9,Top,NA,NA,NA,NA,553882,NA,NA,7.47455496493187,-134.999959096609,-5.2044346412328,-14.8139136070947,30.0104074972287,-15.0352228565999,3.76,1.79,NA,NA,NA,95.2,2390,7.8,661167,642207,553882,669374,543939,649966,642715,592885,669003,592669,52.74,NA,NA,0,1,0,0,NA,74,4,4-Seam Fastball,5,5,5,5,5,5,5,5,Infield shift,Strategic,226,0.08,-0.251
CH,2022-08-29,82.2,-2.06,5.15,"Cruz, Oneil",665833,642207,,swinging_strike,NA,NA,NA,NA,13,Oneil Cruz strikes out swinging.,R,L,R,MIL,PIT,S,NA,,1,1,2022,-1.76,-0.09,-0.14,1.53,NA,NA,656185,0,9,Top,NA,NA,NA,NA,553882,NA,NA,7.93062329946443,-119.49645304985,-1.48101548752203,-18.4194347830877,23.6298342820535,-32.9184632065067,3.76,1.79,NA,NA,NA,83.5,2701,7.3,661167,642207,553882,669374,543939,649966,642715,592885,669003,592669,53.21,NA,NA,NA,NA,NA,NA,NA,74,3,Changeup,5,5,5,5,5,5,5,5,Standard,Strategic,269,0,-0.088
FF,2022-08-29,86.7,3.13,6.21,"Cruz, Oneil",665833,608718,,called_strike,NA,NA,NA,NA,2,Oneil Cruz walks.,R,L,L,MIL,PIT,S,NA,,1,0,2022,-0.41,0.98,0.08,3.5,NA,NA,NA,1,7,Top,NA,NA,NA,NA,553882,NA,NA,-6.5857180919017,-126.122879265364,-2.32028489984315,-3.02672954651393,25.5242158809992,-21.4749604213184,3.75,1.79,NA,NA,NA,88.3,2155,7.3,661167,608718,553882,669374,543939,649966,642715,592885,669003,592669,53.18,NA,NA,NA,NA,NA,NA,NA,56,2,4-Seam Fastball,3,5,5,3,5,3,5,3,Infield shift,Standard,187,0,-0.031
SI,2022-08-29,88.5,3.01,6.14,"Cruz, Oneil",665833,608718,,ball,NA,NA,NA,NA,14,Oneil Cruz walks.,R,L,L,MIL,PIT,B,NA,,0,0,2022,0.93,1.29,1.6,1.6,NA,NA,NA,1,7,Top,NA,NA,NA,NA,553882,NA,NA,-5.46483851676838,-128.653882516942,-7.81322701160921,11.428563483247,26.9443455293118,-16.4456946907197,3.92,1.87,NA,NA,NA,90,2132,7.3,661167,608718,553882,669374,543939,649966,642715,592885,669003,592669,53.2,NA,NA,NA,NA,NA,NA,NA,56,1,Sinker,3,5,5,3,5,3,5,3,Infield shift,Standard,160,0,0.023
FF,2022-08-29,93.1,-1.63,5.35,"Cruz, Oneil",665833,642207,,ball,NA,NA,NA,NA,6,Oneil Cruz strikes out swinging.,R,L,R,MIL,PIT,B,NA,,0,1,2022,-0.98,1.4,0.81,3.12,NA,NA,656185,0,9,Top,NA,NA,NA,NA,553882,NA,NA,8.63333000446416,-135.372292612069,-3.06119632544407,-13.9811979834871,30.2211145313489,-14.504796168323,3.81,1.78,NA,NA,NA,95.4,2287,7.7,661167,642207,553882,669374,543939,649966,642715,592885,669003,592669,52.8,NA,NA,NA,NA,NA,NA,NA,74,2,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,225,0,0.051
CH,2022-08-29,83.1,-2.02,5,"Cruz, Oneil",665833,642207,,called_strike,NA,NA,NA,NA,8,Oneil Cruz strikes out swinging.,R,L,R,MIL,PIT,S,NA,,0,0,2022,-1.58,-0.1,-0.04,1.76,NA,NA,656185,0,9,Top,NA,NA,NA,NA,553882,NA,NA,7.8133980278581,-120.730329902775,-0.732332456542649,-17.0064902016102,23.611580544646,-33.181592931592,3.74,1.66,NA,NA,NA,84.8,2757,7.5,661167,642207,553882,669374,543939,649966,642715,592885,669003,592669,53.03,NA,NA,NA,NA,NA,NA,NA,74,1,Changeup,5,5,5,5,5,5,5,5,Standard,Standard,275,0,-0.066
SL,2022-08-29,91.6,-0.79,6.05,"Cruz, Oneil",665833,669203,field_out,hit_into_play,NA,NA,NA,NA,14,Oneil Cruz lines out sharply to second baseman Kolten Wong.,R,L,R,MIL,PIT,X,4,line_drive,0,2,2022,0.48,0.73,0.66,1.67,NA,NA,NA,0,1,Top,161,139.66,NA,NA,553882,NA,NA,2.62595759596416,-133.33219488521,-6.83026788587327,5.21001803229136,27.8122910456447,-22.1979146113927,3.76,1.79,174,113.8,9,92,2694,6.4,661167,669203,553882,642133,543939,607054,642715,592885,669003,592669,54.06,0.817,0.826,0,1,0,0,5,1,4,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,171,0.022,-0.141
